,Ticker,Company Name,7 Day Prediction,Buy On,Sell On
VTE,VTE,Công ty Cổ phần VINACAP Kim Long,[6705.3076 6703.3096 6699.3613 6694.137  6688.1733 6681.883  6675.574 ],,0
CMG,CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,[41622.043 41593.742 41472.098 41286.81  41212.77  40938.016 40767.68 ],2,
ELC,ELC,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,[12343.875 12468.934 12556.421 12538.179 12486.295 12420.549 12334.224],5,0
FPT,FPT,Công ty Cổ phần FPT,[81208.48  81451.61  81633.22  81693.68  81654.086 81475.445 81259.03 ],5,0
HIG,HIG,Công ty Cổ phần Tập Đoàn HIPT,[7077.114  7070.3096 7058.0767 7079.3755 7151.6963 7157.033  7150.1426],,
HPT,HPT,Công ty Cổ phần Dịch vụ Công nghệ Tin học HPT,[14769.451 14445.904 14020.525 13616.316 13253.874 12941.449 12681.053],2,
ITD,ITD,Công ty Cổ phần Công nghệ Tiên Phong,[12543.264 12512.816 12474.336 12428.213 12347.818 12293.684 12245.133],6,
KST,KST,Công ty Cổ phần KASATI,[14564.437 14688.747 14797.672 14889.408 14963.889 15022.146 15065.839],,1
LTC,LTC,Công ty Cổ phần Điện nhẹ Viễn Thông,[1120.9019 1121.0873 1121.2756 1121.4598 1132.5083 1145.2771 1158.2832],0,5
ONE,ONE,Công ty Cổ phần Truyền thông số 1,[5691.53   5668.791  5689.1997 5720.899  5743.885  5766.969  5782.398 ],,
PMT,PMT,Công ty Cổ phần Viễn thông Telvina Việt Nam,[7277.6016 7359.2817 7451.0938 7543.581  7630.752  7709.146  7777.0923],,2
POT,POT,Công ty Cổ phần Thiết bị Bưu điện,[16733.266 16763.8   16755.707 16801.13  16856.21  16915.27  16974.309],,
SAM,SAM,Công ty Cổ phần SAM Holdings,[6085.3105 6118.924  6127.4854 6127.068  6127.7295 6112.0117 6085.4756],,0
SGT,SGT,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,[12308.052 12348.112 12379.401 12319.311 12325.262 12291.574 12301.091],,
SRA,SRA,Công ty Cổ phần SARA Việt Nam,[3316.1992 3326.3018 3340.3838 3379.3467 3417.2769 3472.5134 3515.7434],,4
SRB,SRB,Công ty Cổ phần Tập đoàn Sara,[1780.9414 1765.0645 1753.1067 1737.133  1725.0509 1720.1226 1701.7085],3,
ST8,ST8,Công ty Cổ phần Siêu Thanh,[14716.871 15320.956 15753.461 16178.063 16521.703 16788.9   17146.422],,1
TST,TST,Công ty Cổ phần Dịch vụ Kỹ thuật Viễn thông,[11212.503 11048.463 10902.286 10776.983 10673.186 10590.01  10525.669],4,
UNI,UNI,Công ty Cổ phần Đầu tư và Phát triển Sao Mai Việt,[9214.901  9187.115  9140.583  9135.6875 9175.092  9108.854  9227.403 ],,0
VEC,VEC,Tổng Công ty Cổ phần Điện tử và Tin học Việt Nam,[10528.996 10413.512 10330.308 10253.262 10183.873 10259.895 10520.481],3,5
VLA,VLA,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang,[64776.633 64727.96  64673.664 64617.098 64560.777 64506.508 64455.523],,0
